kabupaten_kota,Garis_Kemiskinan,Indeks_Pembangunan_Manusia,Persen_Penduduk_Miskin,Tingkat Pengangguran Terbuka,Upah Minimum,Jumlah Penduduk (Ribu),Laju Pertumbuhan Penduduk per Tahun,Persentase Penduduk,Kepadatan Penduduk per km persegi (Km2),Rasio Jenis Kelamin Penduduk,tahun,kuartal,PDRB,Proksi Inflasi,Laju_Inflasi,Gini_Ratio,investasi_per_kapita,Jumlah Perusahaan Kecil
BOJONEGORO,403403,71.15,12.21,4.69,2079568.07,1313.6,0.55,3.19,583.0,100.75,2022,3.0,15122.55,Kota Surabaya,6.91,0.28,423.7432727265023,122
BOJONEGORO,403403,71.15,12.21,4.69,2079568.07,1313.6,0.55,3.19,583.0,100.75,2022,4.0,15631.56,Kota Surabaya,6.59,0.28,271.60983050755385,128
BOJONEGORO,435936,71.8,12.18,4.63,2371016.0,1319.6,0.5,3.18,571.0,100.7,2023,1.0,16133.63,Kota Surabaya,6.3,0.283,400.04678571285694,138
BOJONEGORO,435936,71.8,12.18,4.63,2371016.0,1319.6,0.5,3.18,571.0,100.7,2023,2.0,16269.2,Kota Surabaya,4.91,0.283,158.11034482719677,158
BOJONEGORO,435936,71.8,12.18,4.63,2371016.0,1319.6,0.5,3.18,571.0,100.7,2023,3.0,15821.75,Kota Surabaya,3.14,0.283,174.6777358488918,89
BOJONEGORO,435936,71.8,12.18,4.63,2371016.0,1319.6,0.5,3.18,571.0,100.7,2023,4.0,15086.12,Kota Surabaya,3.03,0.283,43.785131195207626,93
BOJONEGORO,471457,72.75,11.69,4.42,2525132.0,1325.3,0.48,3.17,573.0,100.6,2024,1.0,15533.79,Kota Surabaya,2.99,0.31,51.455573505612726,96
BOJONEGORO,471457,72.75,11.69,4.42,2525132.0,1325.3,0.48,3.17,573.0,100.6,2024,2.0,16544.16,Kota Surabaya,2.35,0.31,72.50052113487405,96
BOJONEGORO,471457,72.75,11.69,4.42,2525132.0,1325.3,0.48,3.17,573.0,100.6,2024,3.0,16058.48,Kota Surabaya,1.65,0.31,45.85274914085409,104
BOJONEGORO,471457,72.75,11.69,4.42,2525132.0,1325.3,0.48,3.17,573.0,100.6,2024,4.0,16230.99,Kota Surabaya,"1,38",0.31,18.182910030125623,249
BONDOWOSO,449760,69.91,13.47,4.32,1958640.12,783.35,0.48,1.9,508.5,97.1,2022,1.0,3407.69,Kabupaten Jember,2.87,0.365,39021.0,33
